bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
GJ Maxwell,66,1087,803,17,17,0,786,16.46969696969697,28,9.0,4.0,14.0,1.0,0.0,131,8.297709923664122,8,0
GR Napier,1,28,24,0,0,0,24,28.0,1,0.0,0.0,1.0,0.0,0.0,4,7.0,0,0
GS Sandhu,2,86,48,0,0,0,48,43.0,1,0.0,0.0,1.0,0.0,0.0,8,10.75,0,0
Gagandeep Singh,4,142,84,0,0,0,84,35.5,3,1.0,0.0,2.0,0.0,0.0,14,10.142857142857142,0,0
Gurkeerat Singh,6,97,82,4,4,0,78,16.166666666666668,5,1.0,0.0,4.0,0.0,0.0,13,7.461538461538462,0,0
HF Gurney,8,239,169,7,6,1,162,29.875,7,0.0,2.0,5.0,0.0,0.0,27,8.851851851851851,1,0
HH Pandya,70,1566,1103,51,47,4,1052,22.37142857142857,50,5.0,1.0,38.0,0.0,6.0,177,8.847457627118644,8,0
HR Shokeen,5,130,94,4,4,0,90,26.0,2,0.0,0.0,2.0,0.0,0.0,15,8.666666666666666,0,0
HV Patel,76,2262,1665,80,70,10,1585,29.763157894736842,97,10.0,7.0,78.0,0.0,2.0,268,8.440298507462687,4,1
Harbhajan Singh,160,4101,3496,80,76,4,3416,25.63125,150,29.0,8.0,83.0,18.0,12.0,570,7.1947368421052635,8,0
Harmeet Singh,28,747,574,25,21,4,549,26.678571428571427,27,6.0,4.0,15.0,0.0,2.0,93,8.03225806451613,2,0
Harpreet Brar,15,379,296,8,8,0,288,25.266666666666666,9,3.0,0.0,5.0,1.0,0.0,48,7.895833333333333,2,0
Harshit Rana,2,52,31,1,0,1,30,26.0,1,0.0,0.0,1.0,0.0,0.0,5,10.4,0,0
I Malhotra,1,23,6,0,0,0,6,23.0,0,,,,,,1,23.0,0,0
