batter,innings,total_runs,total_balls,outs,total_50s,total_100s,avg_strike_rate,motm_count,orange_caps,average,fours,sixes
AD Mascarenhas,11,79,79,10,0,0,91.94805194805195,1,0,7.181818181818182,5,1
AD Mathews,41,724,599,31,1,0,113.46590770007124,1,0,17.658536585365855,44,29
AD Nath,10,90,99,10,0,0,74.7428821178821,0,0,9.0,7,2
AD Russell,81,2039,1212,66,10,0,144.46788903879116,12,0,25.17283950617284,138,175
AF Milne,6,23,31,5,0,0,52.90032679738562,0,0,3.8333333333333335,0,1
AG Murtaza,3,10,14,1,0,0,75.0,0,0,3.3333333333333335,1,0
AG Paunikar,5,49,61,5,0,0,63.55263157894736,0,0,9.8,9,0
AJ Finch,90,2092,1696,84,15,0,108.36361930749814,5,0,23.244444444444444,214,78
AJ Turner,4,3,11,3,0,0,10.714285714285714,0,0,0.75,0,0
AJ Tye,13,91,79,8,0,0,92.34515484515485,2,0,7.0,6,5
AK Markram,18,527,400,13,3,0,128.50788865392124,0,0,29.27777777777778,37,23
AL Menaria,23,401,367,22,0,0,94.10145247235292,0,0,17.434782608695652,24,18
AM Nayar,50,672,588,39,0,0,94.97561135115315,0,0,13.44,55,20
AM Rahane,148,4074,3465,133,28,2,98.23172123361744,12,0,27.527027027027028,431,80
AN Ahmed,6,36,27,1,0,0,189.74358974358975,0,0,6.0,4,1
AN Ghosh,2,7,8,2,0,0,50.0,0,0,3.5,1,0
AP Dole,2,34,23,2,0,0,128.94736842105263,0,0,17.0,3,1
AP Majumdar,4,87,77,4,0,0,113.64688552188552,0,0,21.75,7,2
AP Tare,27,339,285,24,1,0,115.52933902105441,1,0,12.555555555555555,40,11
AR Bawne,1,12,12,0,0,0,100.0,0,0,12.0,1,0
AR Patel,87,1135,919,59,0,0,119.67276971143336,7,0,13.045977011494253,67,54
AS Joseph,4,20,20,1,0,0,73.84615384615384,1,0,5.0,2,0
AS Rajpoot,7,26,41,4,0,0,61.33786848072562,2,0,3.7142857142857144,2,1
AS Raut,16,194,172,11,0,0,90.06027424905302,0,0,12.125,13,7
AS Roy,1,0,2,1,0,0,0.0,0,0,0.0,0,0
AS Yadav,6,49,40,7,0,0,101.07142857142857,0,0,8.166666666666666,5,2
AT Carey,3,32,29,2,0,0,106.7969067969068,0,0,10.666666666666666,0,1
AT Rayudu,173,4190,3375,142,22,1,110.28631524301652,10,0,24.21965317919075,349,164
AUK Pathan,7,39,26,5,0,0,114.04761904761905,0,0,5.571428571428571,5,2
Abdul Samad,19,228,164,17,0,0,113.41140842301832,0,0,12.0,12,14
Abdur Razzak,1,0,2,0,0,0,0.0,0,0,0.0,0,0
Abhishek Sharma,34,667,511,29,2,0,113.81914604946809,1,0,19.61764705882353,64,25
Akash Deep,1,0,2,1,0,0,0.0,0,0,0.0,0,0
Aman Hakim Khan,1,5,3,1,0,0,166.66666666666669,0,0,5.0,1,0
Anirudh Singh,4,63,69,4,0,0,67.55952380952381,0,0,15.75,6,1
Ankit Sharma,10,87,69,7,0,0,99.48611111111111,0,0,8.7,7,4
Ankit Soni,3,7,9,2,0,0,116.66666666666667,0,0,2.3333333333333335,0,1
Anmolpreet Singh,3,29,27,3,0,0,109.39153439153438,0,0,9.666666666666666,3,1
Anuj Rawat,9,129,124,8,1,0,52.928949357520786,1,0,14.333333333333334,10,7
Anureet Singh,8,36,47,4,0,0,64.58333333333333,0,0,4.5,2,1
Arshdeep Singh,9,23,36,4,0,0,52.17864923747277,0,0,2.5555555555555554,3,0
Avesh Khan,6,31,19,1,0,0,173.33333333333334,2,0,5.166666666666667,2,3
Azhar Mahmood,21,388,311,19,2,0,104.43504019378489,2,0,18.476190476190474,39,13
B Akhil,11,76,57,7,0,0,110.68542568542567,0,0,6.909090909090909,5,5
B Chipli,21,280,256,16,1,0,97.49305069468821,0,0,13.333333333333334,28,7
B Indrajith,3,21,31,3,0,0,54.411764705882355,0,0,7.0,2,0
B Kumar,55,241,259,28,0,0,83.9196742651288,5,0,4.381818181818182,23,3
B Laughlin,4,5,13,2,0,0,20.833333333333332,0,0,1.25,0,0
B Lee,19,124,102,10,0,0,104.39431913116123,2,0,6.526315789473684,8,8
B Sai Sudharsan,5,145,118,4,1,0,125.87782587782587,0,0,29.0,14,3
B Stanlake,1,5,2,0,0,0,250.0,1,0,5.0,1,0
B Sumanth,4,35,38,1,0,0,123.1359649122807,0,0,8.75,3,0
BA Bhatt,2,6,7,0,0,0,150.0,1,0,3.0,0,1
BA Stokes,41,920,703,39,2,2,113.9161894965636,5,0,22.4390243902439,79,32
BAW Mendis,3,3,6,2,0,0,50.0,0,0,1.0,0,0
